componente,campo,Y_componente,CATs_atribuidas,share_pct
Consumo das famílias,h_familias,35191.58,4502.740845405594,37.041283915479035
Exportações p/ Brasil,exp_brasil,47256.18,3649.110275428657,30.018989409298168
Exportações p/ exterior,exp_exterior,22592.02,1673.786238699209,13.769211555832825
FBKF (investimento),fbkf,11767.35,1276.777256056276,10.503262448840033
Consumo do governo,gov,20283.35,863.0170596775308,7.0995113929408955
Consumo das ISFLSF,isflsf,1442.88,281.5609727852539,2.3162292236069404
Variação de estoques,var_estoque,-1374.2899999999995,-90.98624265910301,-0.7484879459979054
