rank,i_origem,i_nome,j_destino,j_nome,phi_ponderado,f_origem,L_rowsum_destino,A_ij_atual
1,8692,Saúde privada,4500,Comércio por atacado e a varejo,2.4902954084280733,0.7354095507544826,3.386270148209513,0.0
2,8692,Saúde privada,4900,Transporte,1.7348259365448722,0.7354095507544826,2.358992937697169,0.0
3,8692,Saúde privada,3500,"Geração e distribuição de eletricidade e gás, água, esgoto e limpeza urbana",1.585458826911555,0.7354095507544826,2.155885554226182,0.0
4,8692,Saúde privada,7800,Atividades administrativas e serviços complementares,1.42269477706608,0.7354095507544826,1.9345611919324237,0.0
5,8692,Saúde privada,1000,Alimentos e bebidas,1.2446514581763755,0.7354095507544826,1.6924602854279547,0.0
6,8692,Saúde privada,5500,Alojamento e alimentação,1.2400084155292428,0.7354095507544826,1.6861467385854243,0.0
7,8692,Saúde privada,1700,"Fabricação de celulose, papel e produtos de papel",1.2246148389324036,0.7354095507544826,1.6652147605045762,0.0
8,1900,"Refino de petróleo, coquerias e fabricação de biocombustíveis",4500,Comércio por atacado e a varejo,1.2149330919287695,0.3587820932039826,3.386270148209513,8.960480903400143e-05
9,8692,Saúde privada,0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",1.178227720890358,0.7354095507544826,1.6021381822979763,0.0
10,8692,Saúde privada,6480,"Intermediação financeira, seguros e previdência complementar",1.149452506992275,0.7354095507544826,1.5630100340864639,0.0
11,8692,Saúde privada,5800,Serviço de informação,1.1350825153146604,0.7354095507544826,1.543469912989489,0.0
12,8692,Saúde privada,4180,Construção,1.1056251634639054,0.7354095507544826,1.5034142027793977,0.0
13,8692,Saúde privada,0192,"Pecuária, inclusive o apoio à pecuária",1.0841256966138684,0.7354095507544826,1.4741795173881351,0.0
14,8692,Saúde privada,6900,"Atividades profissionais, científicas e técnicas",1.05128947843052,0.7354095507544826,1.4295292702575932,0.0
15,8692,Saúde privada,2300,Fabricação de produtos de minerais não-metálicos,1.048094510229155,0.7354095507544826,1.425184795538592,0.0
16,8692,Saúde privada,5280,"Armazenamento, atividades auxiliares dos transportes e correio",1.0237219058891178,0.7354095507544826,1.3920432564940792,0.0
17,8692,Saúde privada,2500,"Fabricação de produtos de metal, máquinas e equipamentos",1.012959191376395,0.7354095507544826,1.377408262290263,0.0
18,8692,Saúde privada,2400,Metalurgia,1.0020242242696644,0.7354095507544826,1.3625390413296272,0.0
19,8692,Saúde privada,6800,Atividades imobiliárias,0.9487608742638752,0.7354095507544826,1.2901122555323195,0.0
20,8692,Saúde privada,2000,"Fabricação de químicos, borracha e de material plástico",0.9137977829228064,0.7354095507544826,1.2425699149342146,0.0
21,8692,Saúde privada,0580,Extração de carvão mineral e de minerais não-metálicos e metálicos não ferrosos,0.86488191933841,0.7354095507544826,1.1760547826052805,0.0
22,1600,"Fabricação de produtos da madeira, móveis e indústrias diversas",4500,Comércio por atacado e a varejo,0.8629200835380227,0.2548290732191851,3.386270148209513,0.0018018525898414934
23,8692,Saúde privada,0280,Produção florestal; pesca e aquicultura,0.8564946508332808,0.7354095507544826,1.1646498878816203,0.0
24,1900,"Refino de petróleo, coquerias e fabricação de biocombustíveis",4900,Transporte,0.8463644240404024,0.3587820932039826,2.358992937697169,0.0019406021084573618
25,8692,Saúde privada,1600,"Fabricação de produtos da madeira, móveis e indústrias diversas",0.843425129282807,0.7354095507544826,1.1468781285441663,0.0
26,8692,Saúde privada,0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",0.8431768063539204,0.7354095507544826,1.1465404623707642,0.0
27,8692,Saúde privada,8692,Saúde privada,0.8172347472255849,0.7354095507544826,1.1112647998481322,0.09997497377742169
28,8692,Saúde privada,9480,Organizações associativas e outros serviços pessoais,0.8149473027223529,0.7354095507544826,1.1081543636280897,0.0
29,8692,Saúde privada,2900,"Fabricação de automóveis, caminhões, peças e outros equipamentos de transporte",0.8122365997247886,0.7354095507544826,1.1044683862094073,0.0
30,8692,Saúde privada,8592,Educação privada,0.8063089828797367,0.7354095507544826,1.0964080926777684,0.0
