,0191,0192,0280,0580,0680,0791,1000,1300,1600,1700,1900,2000,2300,2400,2500,2900,3500,4180,4500,4900,5280,5500,5800,6480,6800,6900,7800,8400,8591,8592,8691,8692,9080,9480,9700
0191,0.10548360945737215,0.09705890428201912,0.07667969922024388,0.07743058917107665,0.07086443560501368,0.07548738785210421,0.11143035085408841,0.06871703206999144,0.07550961954669563,0.10963652536373239,0.0666691785513845,0.0818098969730586,0.0938331275280833,0.08970857675952049,0.09068755542320692,0.07271739304148181,0.1419419325682668,0.09898369464685393,0.22294955689686963,0.15531437456651737,0.09165111276804969,0.11101467153454739,0.10162093339381309,0.10290744071591354,0.0849400500046447,0.09411916457508712,0.1273700979702604,0.06583927068392756,0.06583927068392756,0.07218670919386033,0.06583927068392756,0.07316486395872175,0.07216411549421554,0.07296007510648529,0.06583927068392756
0192,0.07245510850025806,0.06666830493235809,0.052670134775916436,0.05318590981565213,0.048675717459647216,0.05185115398838885,0.07653983593173809,0.047200698194338975,0.05186642460580564,0.07530768411969,0.04579405834150703,0.056193990631059364,0.06445256728452492,0.061619475252612514,0.062291921006618525,0.04994848611817434,0.09749778356917342,0.0679904145514901,0.1531407051592713,0.10668311331737668,0.06295377408811567,0.07625431204462813,0.06980189427364761,0.07068557684849194,0.05834404577889382,0.0646490418399783,0.087488609041703,0.0452240070805468,0.0452240070805468,0.04958396734642821,0.0452240070805468,0.05025584717669435,0.04956844807317234,0.05011518078705556,0.0452240070805468
0280,0.2503162025097599,0.23032408982413063,0.1819635412282584,0.18374542868889895,0.16816372235359373,0.1791341456907218,0.26442802264362775,0.16306786053289987,0.1791869022601463,0.2601712135808645,0.15820823429607594,0.19413767544887056,0.22266921157960315,0.21288151194781735,0.21520466170248229,0.17256085354103534,0.33683304657624,0.2348916830002774,0.5290669016802183,0.36856630747339236,0.21749121614162384,0.2634416014426032,0.2411499404835615,0.24420286623217577,0.20156563533924277,0.2233479872467558,0.3022535861374375,0.15623883462456822,0.15623883462456822,0.17130152267292012,0.15623883462456822,0.17362271728757622,0.1712479070531587,0.17313674635738274,0.15623883462456822
0580,0.20402256731375507,0.18772780846374043,0.14831109000003345,0.14976343407819956,0.13706341826706153,0.14600496464447726,0.21552453859773302,0.13290998832161657,0.14604796438092552,0.21205498646790008,0.12894910440327154,0.1582337322165903,0.18148862819389028,0.1735110718593379,0.17540457684402855,0.14064734125998982,0.27453893207699437,0.1914506680984695,0.43122093767511316,0.3004034238380572,0.1772682544737582,0.21472054675114888,0.19655151952497818,0.19903983527444016,0.1642879605547589,0.18204187066423014,0.24635461869930225,0.12734392673990313,0.12734392673990313,0.13962091183099468,0.12734392673990313,0.14151282326049366,0.13957721191751657,0.14111672809835943,0.12734392673990313
0680,0.06361713622528241,0.0585361988213072,0.0462455057814388,0.04669836730692185,0.042738321873918725,0.04552642311902244,0.06720361434712092,0.04144322338495992,0.045539831047994694,0.06612175868090504,0.04020816348387369,0.04933952665332926,0.05659073373679646,0.05410321828807842,0.05469364005435816,0.04385584000078071,0.08560514099514617,0.05969703936776471,0.1344608172344186,0.09367005713371636,0.05527476122743013,0.06695291826236134,0.061287557340054,0.062063449556730196,0.051227321096852414,0.05676324260218633,0.07681687150529447,0.039707646274327706,0.039707646274327706,0.04353578471635913,0.039707646274327706,0.04412570958948121,0.04352215846223748,0.04400220148829691,0.039707646274327706
0791,0.125169253029652,0.11517230602320615,0.0909898772265185,0.09188090034126307,0.08408935299689368,0.08957505340605455,0.1322257917887688,0.08154119506207641,0.08960143404111157,0.13009719761334718,0.07911116544366674,0.09707748670364508,0.11134452587036893,0.10645024000510833,0.10761191838050671,0.08628811448611048,0.16843152945325657,0.1174563061009851,0.2645570211678296,0.18429957364243266,0.10875529746779462,0.13173253724245135,0.12058571365269706,0.1221123125371386,0.10079179757002159,0.11168394394391089,0.15114025869292871,0.07812637786967878,0.07812637786967878,0.08565839294791713,0.07812637786967878,0.08681909366620814,0.0856315827494203,0.08657608655074156,0.07812637786967878
1000,0.19791354185251656,0.18210669518795344,0.14387022722233447,0.14527908392031114,0.13295934329622663,0.14163315392655476,0.2090711108659349,0.12893027905023477,0.14167486612658856,0.20570544715677677,0.1250879954466724,0.15349575684619227,0.17605433401183204,0.16831564877574642,0.17015245674738227,0.13643595327421157,0.2663184428034702,0.18571808164304054,0.4183089362119358,0.2914084769111924,0.17196033048129072,0.2082911928594464,0.19066619883211255,0.1930800072147219,0.1593687040861324,0.17659101080327647,0.2389780492445453,0.12353088144285128,0.12353088144285128,0.13544025810956012,0.12353088144285128,0.1372755202416535,0.13539786669782083,0.13689128531371986,0.12353088144285128
1300,0.1563962486757457,0.14390528166767402,0.11368986489296237,0.11480317881995704,0.10506781053626064,0.11192207342100056,0.1652132397805774,0.10188394283398756,0.11195503544850123,0.1625536078347822,0.09884767388381499,0.1212962000158537,0.13912255394365863,0.1330072506183911,0.13445874238400068,0.10781511500858773,0.21045151846490118,0.1467590898952834,0.33055822152806713,0.23027829321141344,0.13588736958866865,0.1645969289948285,0.1506692163026796,0.15257666827654953,0.1259371503439605,0.13954664941558845,0.18884645319291105,0.0976172033122784,0.0976172033122784,0.10702829169615309,0.0976172033122784,0.10847856190055348,0.1069947929385136,0.10817492981567171,0.0976172033122784
1600,0.4082713881640631,0.375663800174724,0.2967866515537011,0.29969295030629384,0.27427883483275867,0.2921718434342378,0.43128808599588314,0.26596736894055056,0.2922578905922633,0.4243451341302884,0.2580412086290172,0.31664293983272757,0.36317852061317313,0.3472145611269858,0.3510036709238759,0.28145065525763224,0.5493823177500871,0.3831136479588339,0.8629200835380227,0.6011399840439724,0.35473309293340255,0.4296792107052752,0.3933210074688077,0.3983003984185405,0.32875811042601344,0.36428561907944046,0.4929824356259416,0.2548290732191851,0.2548290732191851,0.2793966581270901,0.2548290732191851,0.2831825790464027,0.2793092098385343,0.2823899494671419,0.2548290732191851
