codigo,nome,CAT_h_familias,CAT_fbkf,CAT_gov,CAT_isflsf,CAT_exp_brasil,CAT_exp_exterior,CAT_var_estoque,CAT_total_decomp
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",23.491361528026967,2.7274149624917747,0.0,0.0,136.82239347216017,111.68692070980033,-86.16202309036213,188.5660675821171
0192,"Pecuária, inclusive o apoio à pecuária",13.674753045011562,4.222125099030798,0.0,0.0,7.323566034568408,3.4166539239039806,-2.3309580179212386,26.30614008459351
0280,Produção florestal; pesca e aquicultura,25.46264560679674,0.8225017112116516,0.0,0.0,10.493080588598243,2.9016904746060765,-0.714286138150456,38.96563224306225
0580,Extração de carvão mineral e de minerais não-metálicos e metálicos não ferrosos,0.0,0.0,0.0,0.0,7.445817611306879,29.171501791479464,1.0687353931763428,37.68605479596268
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0.0,66.91929626612448,0.0,0.0,738.7337577344005,142.72119300381607,0.0,948.374247004341
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",0.0,0.0,0.0,0.0,1.734405588706869,532.0101640051433,10.255649622952735,544.000219216803
1000,Alimentos e bebidas,454.0325027907461,0.0,0.0,0.0,224.40126893346095,17.058045710101766,-2.924321970493398,692.5674954638154
1300,"Fabricação de produtos têxteis, artefatos do vestuário, couro e calçados",18.202679901640554,0.0,0.0,0.0,99.88875563335512,0.9429821839966094,-0.4851575004620236,118.54926021853025
1600,"Fabricação de produtos da madeira, móveis e indústrias diversas",124.5737459765149,39.56731019874287,0.0,0.0,131.7447235582539,3.1772410580676027,-4.83239140303996,294.2306293885393
1700,"Fabricação de celulose, papel e produtos de papel",4.712252181105591,0.0,0.0,0.0,18.51294046157459,85.13557643094822,2.7473473186316504,111.10811639226006
1900,"Refino de petróleo, coquerias e fabricação de biocombustíveis",7.207930761376479,0.0,0.0,0.0,83.23378654629052,5.241805629709478,-1.1660407572123883,94.51748218016408
2000,"Fabricação de químicos, borracha e de material plástico",11.185225102950188,0.0,0.0,0.0,125.82744680179765,9.626665930520568,-0.41008652282701,146.2292513124414
2300,Fabricação de produtos de minerais não-metálicos,4.044384915054898,0.0,0.0,0.0,302.90150949184095,274.4577274658515,11.77381816953093,593.1774400422784
2400,Metalurgia,0.3601855738885403,0.0,0.0,0.0,349.6286757157786,244.3666848954446,-9.885876294004865,584.4696698911068
2500,"Fabricação de produtos de metal, máquinas e equipamentos",18.874511172824498,50.54787945636133,0.0,0.0,184.2667451661366,4.027137982634994,-0.43889431306409954,257.2773794648933
2900,"Fabricação de automóveis, caminhões, peças e outros equipamentos de transporte",8.899644839111673,30.602254625831023,0.0,0.0,111.89892603059181,0.5174430115009104,0.7199207116534406,152.63818921868884
3500,"Geração e distribuição de eletricidade e gás, água, esgoto e limpeza urbana",173.40467997423073,0.0,0.0,0.0,79.45162431861759,0.0,0.9475548953092002,253.80385918815753
4180,Construção,0.0,1002.4450897850039,0.0,0.0,0.0,0.0,0.0,1002.4450897850039
4500,Comércio por atacado e a varejo,441.41860870870374,70.66795374945534,0.0,0.0,910.1537718472225,138.3043482197657,-8.103806132048964,1552.4408763930983
4900,Transporte,134.82526983596378,8.255430202022872,0.0,0.0,119.8962303994081,67.1267151402533,-1.1106573901062966,328.99298818754175
5280,"Armazenamento, atividades auxiliares dos transportes e correio",18.580674917989327,0.0,0.0,0.0,0.0,0.0,0.0,18.580674917989327
5500,Alojamento e alimentação,179.98981498358637,0.0,0.0,0.0,0.015331483704220748,1.779353961672208,0.0,181.7845004289628
5800,Serviço de informação,111.26650943708066,0.0,0.0,0.0,4.317589628438787,0.0013732791439054666,0.06523075933550965,115.65070310399885
6480,"Intermediação financeira, seguros e previdência complementar",81.02805176645042,0.0,0.0,0.0,0.0,0.0,0.0,81.02805176645042
6800,Atividades imobiliárias,68.36470461760389,0.0,0.0,0.0,0.0,0.0,0.0,68.36470461760389
6900,"Atividades profissionais, científicas e técnicas",15.04858698533853,0.0,0.0,0.0,0.0,0.0,0.0,15.04858698533853
7800,Atividades administrativas e serviços complementares,101.62912827517029,0.0,0.0,80.27221935200703,0.0,0.0,0.0,181.9013476271773
8400,Administração Pública,0.0,0.0,678.0241893503376,0.0,0.0,0.0,0.0,678.0241893503376
8591,Educação pública,0.0,0.0,87.92361448661656,0.0,0.0,0.0,0.0,87.92361448661656
8592,Educação privada,143.00535678321634,0.0,0.0,0.0,0.0,0.0,0.0,143.00535678321634
8691,Saúde pública,0.0,0.0,97.06925584057677,0.0,0.0,0.0,0.0,97.06925584057677
8692,Saúde privada,2199.3231565818633,0.0,0.0,82.52765978566804,0.0,0.0,0.0,2281.8508163675315
9080,"Atividades artísticas, criativas e de espetáculos",41.83830885244008,0.0,0.0,11.007230565465035,0.41792838244430147,0.11501389084867175,0.0,53.37848169119809
9480,Organizações associativas e outros serviços pessoais,78.29617029090812,0.0,0.0,107.7538630821138,0.0,0.0,0.0,186.0500333730219
9700,Serviços domésticos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
