codigo,nome,X_i,a_direto,f_typeI_aberto,f_typeII_fechado,amplif_typeII_sobre_typeI,componente_direto,componente_indireto,componente_induzido,share_induzido,multiplicador_prod_typeII
8692,Saúde privada,3448.68,0.6483640117378243,0.7354095507544826,0.7795681507770268,1.0600462694253023,0.6483640117378243,0.08704553901665824,0.04415860002254424,0.05664495141127763,1.7996004939686763
1900,"Refino de petróleo, coquerias e fabricação de biocombustíveis",328.52,0.31961524412516745,0.3587820932039826,0.40294069322652687,1.1230791638127777,0.31961524412516745,0.039166849078815125,0.04415860002254429,0.10959081761870854,2.155255635672374
1600,"Fabricação de produtos da madeira, móveis e indústrias diversas",1489.71,0.21950580985560947,0.2548290732191851,0.29898767324172915,1.1732871350380107,0.21950580985560947,0.03532326336357561,0.04415860002254407,0.14769371440555074,1.8449733278699232
5280,"Armazenamento, atividades auxiliares dos transportes e correio",2773.12,0.15433879529194555,0.19785619122552794,0.24201479124807213,1.2231853334941116,0.15433879529194555,0.04351739593358239,0.04415860002254418,0.18246240155330154,1.9488534385090877
2900,"Fabricação de automóveis, caminhões, peças e outros equipamentos de transporte",966.27,0.14695685470934625,0.1874793519930835,0.23163795201562762,1.235538471586851,0.14695685470934625,0.04052249728373725,0.044158600022544126,0.19063629098035254,1.9243892121305812
7800,Atividades administrativas e serviços complementares,5140.4,0.15582444945918605,0.17422833189071044,0.2183869319132547,1.2534524640357803,0.15582444945918605,0.018403882431524382,0.044158600022544264,0.20220349100414337,1.6955464450575224
0280,Produção florestal; pesca e aquicultura,496.0,0.12298387096774194,0.15623883462456822,0.20039743464711224,1.2826352368068685,0.12298387096774194,0.033254963656826286,0.044158600022544015,0.22035511632324356,1.879593466643413
9480,Organizações associativas e outros serviços pessoais,1657.76,0.11159637100665959,0.15277301520177194,0.19693161522431607,1.289047119769303,0.11159637100665959,0.041176644195112355,0.044158600022544126,0.2242331683119799,2.051613383563028
2300,Fabricação de produtos de minerais não-metálicos,6064.61,0.10520049929014397,0.14787513400566352,0.19203373402820764,1.298620862252966,0.10520049929014397,0.04267463471551955,0.044158600022544126,0.2299523062758219,2.010120795620555
0580,Extração de carvão mineral e de minerais não-metálicos e metálicos não ferrosos,1326.14,0.10858582050160616,0.12734392673990313,0.17150252676244726,1.346766439146619,0.10858582050160616,0.018758106238296976,0.044158600022544126,0.2574807546929579,1.7144684880511238
1000,Alimentos e bebidas,7647.78,0.0791079241296167,0.12353088144285128,0.16768948146539545,1.3574701281717407,0.0791079241296167,0.044422957313234576,0.04415860002254417,0.2633355392160168,2.2195610038584146
8592,Educação privada,1569.36,0.10258959066116125,0.12250321818737696,0.1666618182099211,1.3604688976823496,0.10258959066116125,0.019913627526215713,0.04415860002254414,0.2649593079977298,1.7777996448009377
4180,Construção,11430.34,0.0790877611689591,0.12028580871108992,0.16444440873363406,1.3671139637811063,0.0790877611689591,0.041198047542130814,0.04415860002254414,0.268532085478637,2.007987246052936
2000,"Fabricação de químicos, borracha e de material plástico",2186.4,0.0823271130625686,0.11519284349073315,0.15935144351327737,1.3833449950916146,0.0823271130625686,0.032865730428164555,0.04415860002254422,0.2771145277944399,1.9066192720164579
