cnae,total_2013,total_2014,total_2015,com_cat_2013,com_cat_2014,com_cat_2015,tipico_2013,tipico_2014,tipico_2015,trajeto_2013,trajeto_2014,trajeto_2015,doenca_2013,doenca_2014,doenca_2015,sem_cat_2013,sem_cat_2014,sem_cat_2015
8291,9,14,9,9,13,8,2,3,5,7,10,3,0,0,0,0,1,1
8292,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8299,32,41,49,30,41,49,15,18,26,13,23,23,2,0,0,2,0,0
8411,523,564,466,412,564,466,278,401,293,124,162,170,10,1,3,111,0,0
8412,71,73,53,65,73,53,49,47,41,16,26,12,0,0,0,6,0,0
8413,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8422,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
8423,4,7,0,3,7,0,1,2,0,2,5,0,0,0,0,1,0,0
8424,16,17,20,9,17,20,6,13,8,3,4,12,0,0,0,7,0,0
8430,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8511,3,30,26,3,5,6,3,4,3,0,0,3,0,1,0,0,25,20
8512,2,2,2,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0
8513,29,42,42,28,41,42,16,25,30,10,14,12,2,2,0,1,1,0
8520,14,9,9,14,9,9,5,6,7,9,3,2,0,0,0,0,0,0
8531,32,17,16,31,17,16,24,13,8,6,4,8,1,0,0,1,0,0
8532,12,18,25,12,18,25,7,14,20,5,4,5,0,0,0,0,0,0
8533,5,7,9,5,7,9,4,5,5,1,2,4,0,0,0,0,0,0
8541,4,8,3,2,8,3,2,8,3,0,0,0,0,0,0,2,0,0
8550,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8591,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
8593,4,1,4,2,1,4,1,1,0,1,0,4,0,0,0,2,0,0
8599,37,47,44,37,47,44,24,27,27,10,19,15,3,1,2,0,0,0
8610,1667,1671,1774,1634,1671,1774,1446,1462,1512,183,201,236,5,8,26,33,0,0
8621,4,7,19,4,7,19,2,6,10,2,1,9,0,0,0,0,0,0
8630,149,171,133,147,171,133,120,142,103,27,29,30,0,0,0,2,0,0
8640,98,109,125,93,109,125,81,89,97,11,20,27,1,0,1,5,0,0
8650,2,1,4,1,1,4,1,1,2,0,0,2,0,0,0,1,0,0
8660,1,19,84,1,19,84,1,15,67,0,3,17,0,1,0,0,0,0
8690,19,19,22,16,19,22,10,12,19,6,7,3,0,0,0,3,0,0
8711,5,6,5,4,6,5,1,4,4,3,2,1,0,0,0,1,0,0
8712,11,19,16,11,19,16,9,6,7,2,13,9,0,0,0,0,0,0
8720,5,10,5,4,10,5,0,7,3,4,3,2,0,0,0,1,0,0
8730,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
8800,36,41,48,36,41,48,23,23,32,13,17,16,0,1,0,0,0,0
9001,4,1,3,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0
9003,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9103,0,3,1,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0
9312,5,8,9,4,8,9,2,6,6,1,1,3,1,1,0,1,0,0
9313,4,5,3,4,5,3,3,2,2,1,3,1,0,0,0,0,0,0
9319,11,9,8,11,9,8,10,5,7,1,4,1,0,0,0,0,0,0
9321,3,6,2,2,6,2,2,5,2,0,1,0,0,0,0,1,0,0
9329,18,14,17,18,14,17,11,7,10,7,7,7,0,0,0,0,0,0
9411,1,2,3,1,2,3,0,2,0,1,0,3,0,0,0,0,0,0
9412,8,4,6,3,4,6,0,2,1,1,2,5,2,0,0,5,0,0
9420,13,7,7,13,7,7,3,2,3,6,3,3,4,2,1,0,0,0
9430,75,105,32,70,105,32,49,80,23,19,24,9,2,1,0,5,0,0
9491,24,17,19,21,17,19,18,12,15,3,4,3,0,1,1,3,0,0
9492,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9493,9,3,0,8,3,0,7,3,0,1,0,0,0,0,0,1,0,0
9499,53,62,82,51,62,82,46,56,58,5,6,24,0,0,0,2,0,0
9511,8,6,5,8,6,5,4,1,4,4,5,1,0,0,0,0,0,0
9512,2,1,4,2,1,4,1,0,2,1,1,2,0,0,0,0,0,0
9521,5,4,6,5,4,6,3,1,4,2,3,2,0,0,0,0,0,0
9529,6,15,8,6,15,8,6,9,5,0,5,3,0,1,0,0,0,0
9601,12,11,4,11,11,4,10,8,2,1,3,2,0,0,0,1,0,0
9602,4,3,3,3,3,3,2,2,1,1,1,2,0,0,0,1,0,0
9603,1,5,4,1,5,4,0,2,3,1,3,1,0,0,0,0,0,0
9609,3,3,2,2,3,2,2,2,1,0,1,1,0,0,0,1,0,0
9700,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
