cnae,total_2013,total_2014,total_2015,com_cat_2013,com_cat_2014,com_cat_2015,tipico_2013,tipico_2014,tipico_2015,trajeto_2013,trajeto_2014,trajeto_2015,doenca_2013,doenca_2014,doenca_2015,sem_cat_2013,sem_cat_2014,sem_cat_2015
2950,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3011,1,37,108,1,37,108,1,36,104,0,1,3,0,0,1,0,0,0
3032,4,11,5,4,11,5,3,7,5,1,3,0,0,1,0,0,0,0
3099,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3101,107,139,120,95,139,120,80,127,105,15,10,15,0,2,0,12,0,0
3102,16,19,20,14,19,20,12,16,18,1,3,2,1,0,0,2,0,0
3103,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3104,5,12,4,5,12,4,5,12,4,0,0,0,0,0,0,0,0,0
3211,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
3230,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3240,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3250,0,4,2,0,4,2,0,2,1,0,2,1,0,0,0,0,0,0
3291,2,7,8,2,2,1,2,1,1,0,1,0,0,0,0,0,5,7
3299,2,4,0,2,4,0,0,3,0,2,1,0,0,0,0,0,0,0
3311,1,2,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0
3312,3,2,2,3,2,2,2,0,1,1,2,1,0,0,0,0,0,0
3313,1,7,3,1,7,3,0,7,1,1,0,2,0,0,0,0,0,0
3314,98,79,72,95,79,72,73,60,47,21,17,24,1,2,1,3,0,0
3317,9,3,12,8,3,12,8,3,11,0,0,1,0,0,0,1,0,0
3319,4,5,5,4,5,5,3,5,5,1,0,0,0,0,0,0,0,0
3321,7,4,7,7,4,7,7,2,6,0,1,1,0,1,0,0,0,0
3329,9,11,3,9,11,3,7,10,3,2,1,0,0,0,0,0,0,0
3511,0,4,2,0,2,2,0,0,1,0,2,1,0,0,0,0,2,0
3512,0,2,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0
3514,10,18,29,9,18,29,6,13,28,1,4,1,2,1,0,1,0,0
3530,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3600,48,42,39,45,42,39,31,32,26,13,10,13,1,0,0,3,0,0
3701,0,0,4,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0
3702,13,8,17,10,8,17,7,8,14,3,0,3,0,0,0,3,0,0
3811,254,286,203,250,286,203,217,264,183,33,21,19,0,1,1,4,0,0
3812,6,9,1,6,9,1,5,9,1,1,0,0,0,0,0,0,0,0
3821,39,26,31,34,26,31,30,21,25,4,4,6,0,1,0,5,0,0
3822,48,65,74,46,65,74,40,60,71,6,5,3,0,0,0,2,0,0
3831,5,9,18,4,9,18,4,8,13,0,1,5,0,0,0,1,0,0
3832,0,3,2,0,3,2,0,2,2,0,1,0,0,0,0,0,0,0
3839,5,2,8,5,2,8,2,1,7,2,1,1,1,0,0,0,0,0
3900,0,1,2,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0
4110,224,202,122,208,202,122,189,180,108,17,22,11,2,0,3,16,0,0
4120,437,382,293,399,380,290,344,323,238,50,49,44,5,8,8,38,2,3
4211,120,109,78,107,109,78,90,93,68,17,16,8,0,0,2,13,0,0
4212,19,17,16,15,17,16,13,16,11,2,1,5,0,0,0,4,0,0
4213,18,17,25,16,17,25,12,15,13,4,2,12,0,0,0,2,0,0
4221,70,71,57,68,62,44,64,47,37,2,15,7,2,0,0,2,9,13
4222,23,7,21,22,7,21,17,7,18,5,0,3,0,0,0,1,0,0
4223,4,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0
4291,5,35,14,5,35,14,5,33,12,0,1,0,0,1,2,0,0,0
4292,116,63,42,105,63,42,94,51,33,11,11,9,0,1,0,11,0,0
4299,50,23,17,44,23,17,36,21,14,8,1,2,0,1,1,6,0,0
4311,0,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0
4312,2,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0
4313,11,16,19,11,16,19,8,10,16,3,6,3,0,0,0,0,0,0
4319,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
4321,59,51,84,51,51,84,38,36,59,13,15,25,0,0,0,8,0,0
4322,20,18,17,19,18,17,10,10,12,9,8,5,0,0,0,1,0,0
4329,46,26,15,38,26,15,23,21,11,2,5,4,13,0,0,8,0,0
4330,37,38,19,30,38,19,19,29,16,10,8,3,1,1,0,7,0,0
4391,9,15,11,9,15,11,7,13,11,2,2,0,0,0,0,0,0,0
4399,82,80,68,77,80,68,58,71,51,19,9,17,0,0,0,5,0,0
4511,75,69,51,68,68,51,48,45,37,16,23,13,4,0,1,7,1,0
4512,3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1
4520,95,69,72,86,69,72,65,55,55,19,14,17,2,0,0,9,0,0
4530,94,100,95,86,100,95,65,65,63,21,32,30,0,3,2,8,0,0
4541,20,19,22,18,17,22,6,7,8,12,10,13,0,0,1,2,2,0
4543,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
4616,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4617,4,3,2,3,3,2,0,3,2,3,0,0,0,0,0,1,0,0
4619,2,2,1,2,2,1,1,0,1,1,1,0,0,1,0,0,0,0
4621,25,19,13,24,19,13,22,13,9,2,6,4,0,0,0,1,0,0
4623,5,1,0,5,1,0,4,0,0,0,1,0,1,0,0,0,0,0
4631,6,3,4,6,3,4,4,3,3,2,0,1,0,0,0,0,0,0
4632,4,7,6,4,7,6,3,6,6,1,1,0,0,0,0,0,0,0
4633,23,28,27,23,28,27,20,19,15,3,7,12,0,2,0,0,0,0
4634,14,28,6,13,28,6,11,15,6,0,7,0,2,6,0,1,0,0
4635,73,56,64,68,56,64,47,44,44,21,11,20,0,1,0,5,0,0
4636,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
4637,11,14,15,10,14,15,6,8,8,4,6,7,0,0,0,1,0,0
4639,58,63,54,51,63,54,36,47,39,14,16,15,1,0,0,7,0,0
4641,15,17,12,15,17,12,11,14,9,4,3,3,0,0,0,0,0,0
4642,3,5,4,3,5,4,3,2,3,0,3,1,0,0,0,0,0,0
4643,2,5,1,2,5,1,1,4,0,1,1,1,0,0,0,0,0,0
4644,12,15,5,11,15,5,9,6,5,1,8,0,1,1,0,1,0,0
4645,3,3,2,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0
4646,2,4,5,1,4,5,0,2,2,1,2,3,0,0,0,1,0,0
4647,6,3,3,4,3,3,4,3,2,0,0,1,0,0,0,2,0,0
4649,12,9,12,12,9,12,9,9,8,3,0,4,0,0,0,0,0,0
4651,0,2,3,0,2,3,0,1,1,0,1,1,0,0,1,0,0,0
4652,1,2,3,1,2,3,0,1,2,0,1,1,1,0,0,0,0,0
4661,10,2,12,8,2,12,5,2,11,3,0,1,0,0,0,2,0,0
4662,9,11,11,8,11,11,8,7,9,0,4,2,0,0,0,1,0,0
4663,12,7,6,12,7,6,9,6,6,3,1,0,0,0,0,0,0,0
4664,1,5,1,1,5,1,1,5,1,0,0,0,0,0,0,0,0,0
4665,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4669,4,3,9,3,3,9,1,1,7,2,2,2,0,0,0,1,0,0
4671,2,1,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
4672,22,13,14,21,13,14,18,9,14,3,4,0,0,0,0,1,0,0
4673,4,3,4,3,3,4,2,3,2,1,0,2,0,0,0,1,0,0
4674,1,2,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0
4679,33,25,42,29,25,42,21,18,34,8,7,8,0,0,0,4,0,0
4681,6,3,10,5,3,10,3,2,9,2,1,1,0,0,0,1,0,0
4682,38,43,47,33,43,47,28,41,43,4,2,2,1,0,2,5,0,0
4683,2,3,6,2,3,6,2,0,4,0,3,2,0,0,0,0,0,0
4684,5,3,2,5,3,2,2,3,2,2,0,0,1,0,0,0,0,0
4685,22,35,22,22,35,22,21,29,22,1,6,0,0,0,0,0,0,0
4686,2,1,1,2,1,1,2,0,0,0,1,1,0,0,0,0,0,0
4687,32,22,31,28,22,31,27,21,29,1,1,2,0,0,0,4,0,0
4689,25,13,9,23,13,9,19,10,8,3,3,1,1,0,0,2,0,0
4691,5,6,11,5,6,11,4,4,7,1,2,4,0,0,0,0,0,0
4692,1,7,9,1,7,9,1,7,1,0,0,8,0,0,0,0,0,0
4693,80,67,69,76,67,69,53,53,52,22,14,17,1,0,0,4,0,0
4711,315,435,469,281,435,469,231,372,400,49,56,66,1,7,3,34,0,0
4712,26,21,20,20,21,20,14,11,13,6,10,7,0,0,0,6,0,0
4713,69,59,33,67,59,33,43,42,21,21,17,12,3,0,0,2,0,0
4721,45,26,28,38,26,28,27,18,23,11,5,5,0,3,0,7,0,0
4722,7,8,8,5,8,8,3,3,6,2,4,2,0,1,0,2,0,0
4723,13,5,5,12,5,5,7,3,2,5,2,2,0,0,1,1,0,0
4724,26,22,19,25,22,19,20,18,14,5,4,5,0,0,0,1,0,0
4729,12,9,9,11,9,9,8,6,4,3,2,5,0,1,0,1,0,0
4731,41,33,22,38,33,22,14,14,9,24,19,13,0,0,0,3,0,0
4741,8,15,5,7,15,5,5,10,1,2,5,4,0,0,0,1,0,0
4742,14,23,16,14,23,16,11,21,13,3,2,3,0,0,0,0,0,0
4743,12,15,7,11,15,7,6,13,4,5,2,3,0,0,0,1,0,0
4744,129,110,84,112,110,84,80,82,57,29,27,25,3,1,2,17,0,0
4751,18,8,8,15,8,8,5,7,4,10,1,4,0,0,0,3,0,0
4752,6,11,6,6,11,6,2,4,2,4,7,4,0,0,0,0,0,0
4753,26,29,20,24,29,20,15,23,10,7,6,10,2,0,0,2,0,0
4754,45,44,47,39,44,47,23,24,22,15,20,23,1,0,2,6,0,0
4755,10,5,4,10,5,4,5,0,2,5,5,2,0,0,0,0,0,0
4756,0,1,2,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0
4757,2,5,2,1,5,2,0,3,0,1,2,2,0,0,0,1,0,0
4759,11,4,2,9,4,2,7,3,1,2,1,1,0,0,0,2,0,0
4761,5,7,7,5,7,7,4,3,4,1,4,3,0,0,0,0,0,0
4762,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4763,4,6,7,4,6,7,3,2,3,1,4,4,0,0,0,0,0,0
4771,44,51,45,39,51,45,23,25,21,16,26,24,0,0,0,5,0,0
4772,6,7,6,5,7,6,2,5,4,2,2,1,1,0,1,1,0,0
4773,0,3,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0
4774,4,4,7,4,4,7,3,0,2,1,3,5,0,1,0,0,0,0
4781,70,73,69,62,73,69,38,38,36,23,34,33,1,1,0,8,0,0
4782,25,21,32,21,21,32,15,15,16,5,6,15,1,0,1,4,0,0
4783,0,3,3,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0
4784,16,18,15,14,18,15,8,12,10,6,6,4,0,0,1,2,0,0
4785,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4789,54,49,38,48,49,38,30,35,20,18,14,18,0,0,0,6,0,0
4911,46,31,46,45,31,46,38,26,38,7,4,5,0,1,3,1,0,0
4921,97,112,95,80,112,95,41,69,62,36,41,33,3,2,0,17,0,0
4922,35,33,22,21,33,22,18,20,11,3,13,11,0,0,0,14,0,0
4923,4,2,3,4,2,3,2,1,1,2,1,2,0,0,0,0,0,0
4924,2,1,2,1,1,2,1,1,1,0,0,1,0,0,0,1,0,0
4929,13,11,7,11,11,7,6,5,4,5,5,2,0,1,1,2,0,0
4930,497,449,371,448,449,371,328,331,284,118,111,83,2,7,4,49,0,0
4940,5,16,7,5,16,7,5,12,7,0,4,0,0,0,0,0,0,0
5011,6,4,5,5,4,5,5,3,5,0,1,0,0,0,0,1,0,0
5012,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5030,40,20,19,38,18,19,33,11,17,5,7,2,0,0,0,2,2,0
5111,16,16,12,16,11,10,10,9,9,6,2,1,0,0,0,0,5,2
5112,3,4,3,3,4,2,3,4,2,0,0,0,0,0,0,0,0,1
5211,26,26,27,25,26,26,21,22,20,4,4,6,0,0,0,1,0,1
5212,43,47,43,38,42,38,28,32,33,10,8,5,0,2,0,5,5,5
5221,8,18,24,8,17,24,6,9,19,2,8,5,0,0,0,0,1,0
5222,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
5223,4,2,8,4,2,8,2,0,4,1,2,4,1,0,0,0,0,0
5229,11,11,10,7,10,9,7,7,7,0,3,2,0,0,0,4,1,1
5231,70,66,89,68,66,89,53,51,78,15,15,10,0,0,1,2,0,0
5232,5,11,2,5,9,2,1,6,1,4,3,1,0,0,0,0,2,0
5239,11,8,9,11,8,9,10,6,7,1,2,2,0,0,0,0,0,0
5240,15,7,4,15,7,4,13,6,2,2,1,2,0,0,0,0,0,0
5250,85,57,61,82,57,61,66,39,32,16,17,27,0,1,2,3,0,0
5310,158,141,135,149,141,135,104,98,100,31,29,17,14,14,18,9,0,0
5320,57,39,22,53,39,22,26,28,12,27,11,10,0,0,0,4,0,0
5510,43,35,40,38,35,40,31,31,30,7,4,9,0,0,1,5,0,0
5590,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5611,226,197,165,208,197,165,164,132,118,39,58,42,5,7,5,18,0,0
5612,1,0,5,1,0,5,0,0,1,1,0,4,0,0,0,0,0,0
5620,100,109,89,91,109,89,81,87,73,9,21,15,1,1,1,9,0,0
5811,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
5812,0,2,2,0,2,2,0,1,2,0,1,0,0,0,0,0,0,0
5819,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
